orden,titulo,autores,anio,fuente,doi,estado_pdf,archivo_pdf_local
1,A tutorial on hidden Markov models and selected applications in speech recognition,"Rabiner, L.R.",1989,Proceedings of the IEEE,10.1109/5.18626,PDF verificado,a-tutorial-on-hidden-markov-models-and-selected-applications-in-speech-recognition.pdf
2,Hidden Markov Models for Speech Recognition,"Juang, B. H. and Rabiner, L. R.",1991,Technometrics,10.1080/00401706.1991.10484833,PDF verificado,hidden-markov-models-for-speech-recognition.pdf
3,Large Margin Hidden Markov Models for Automatic Speech Recognition,"Sha, Fei and Saul, Lawrence K.",2007,Advances in Neural Information Processing Systems 19,10.7551/mitpress/7503.003.0161,PDF verificado,large-margin-hidden-markov-models-for-automatic-speech-recognition.pdf
4,Hybrid Hidden Markov Model and Artificial Neural Network for Automatic Speech Recognition,"Tang, Xian",2009,"2009 Pacific-Asia Conference on Circuits, Communications and Systems",10.1109/PACCS.2009.138,PDF verificado,hybrid-hidden-markov-model-and-artificial-neural-network-for-automatic-speech-recognition.pdf
5,Deep neural network and hidden markov model hybrid automatic speech recognition system for recognizing spontaneous Kannada proverb’s with perspectives on the future of ASR research,"Shanthamallappa, Mahadevaswamy and Pradeep Kumar, B. P. and Basavaiah, Jagadeesh and Naveen Kumar, H. N.",2026,Multimedia Tools and Applications,10.1007/s11042-026-21167-z,PDF verificado,deep-neural-network-and-hidden-markov-model-hybrid-automatic-speech-recognition-system-for-recognizing-spontaneous-kannada-proverb-s-with-perspectives-on-t.pdf
6,Noise compensation methods for hidden Markov model speech recognition in adverse environments,"Vaseghi, S.V. and Milner, B.P.",1997,IEEE Transactions on Speech and Audio Processing,10.1109/89.554264,PDF verificado,noise-compensation-methods-for-hidden-markov-model-speech-recognition-in-adverse-environments.pdf
7,Hidden Markov model training with contaminated speech material for distant-talking speech recognition,"Matassoni, Marco and Omologo, Maurizio and Giuliani, Diego and Svaizer, Piergiorgio",2002,Computer Speech & Language,10.1006/csla.2002.0191,PDF verificado,hidden-markov-model-training-with-contaminated-speech-material-for-distant-talking-speech-recognition.pdf
8,Speech recognition for under-resourced languages: Data sharing in hidden Markov model systems,"De Wet, Febe and Kleynhans, Neil and Van Compernolle, Dirk and Sahraeian, Reza",2017,South African Journal of Science,10.17159/sajs.2017/20160038,PDF verificado,speech-recognition-for-under-resourced-languages-data-sharing-in-hidden-markov-model-systems.pdf
9,Speech recognition using hidden Markov models: A CMU perspective,"Lee, Kai-Fu and Hon, Hsiao-Wuen and Hwang, Mei-Yuh and Huang, Xuedong",1990,Speech Communication,10.1016/0167-6393(90)90025-5,PDF verificado,speech-recognition-using-hidden-markov-models-a-cmu-perspective.pdf
10,Shared-distribution hidden Markov models for speech recognition,Mei-Yuh Hwang and Xuedong Huang,1993,IEEE Transactions on Speech and Audio Processing,10.1109/89.242487,PDF verificado,shared-distribution-hidden-markov-models-for-speech-recognition.pdf
11,Hybrid neural network/hidden Markov model continuous-speech recognition,"Cohen, Michael and Franco, Horacio and Morgan, Nelson and Rumelhart, David and Abrash, Victor",1992,2nd International Conference on Spoken Language Processing (ICSLP 1992),10.21437/ICSLP.1992-281,PDF verificado,hybrid-neural-network-hidden-markov-model-continuous-speech-recognition.pdf
12,Speech recognition using hybrid hidden markov model and NN classifier,"Kundu, Amlan and Bayya, Aruna",1998,International Journal of Speech Technology,10.1007/BF02111210,PDF verificado,speech-recognition-using-hybrid-hidden-markov-model-and-nn-classifier.pdf
13,Research on an Improved CNN Speech Recognition System Based on Hidden Markov Model,"Chen, Zhikang and Liu, Jia and Zhang, Yunxi",2020,"2020 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",10.1109/ICITBS49701.2020.00171,PDF verificado,research-on-an-improved-cnn-speech-recognition-system-based-on-hidden-markov-model.pdf
14,Unsupervised Online Adaptation of Segmental Switching Linear Gaussian Hidden Markov Models for Robust Speech Recognition,Qiang Huo and Donglai Zhu and Jian Wu,2006,2006 IEEE International Conference on Acoustics Speed and Signal Processing Proceedings,10.1109/ICASSP.2006.1660223,PDF verificado,unsupervised-online-adaptation-of-segmental-switching-linear-gaussian-hidden-markov-models-for-robust-speech-recognition.pdf
