orden,producto,tipo,archivo_portafolio,evidencia_github,estado,criterio_relacionado
1,ACD 1: tema preliminar HMM-ASR y repertorio inicial,PDF,docs/portafolio_unidad_1/productos/acd1_tema_preliminar_hmm_asr.pdf,Incluido en portafolio,Completo,Completitud del portafolio
2,Cuadro comparativo de tipos de investigación en Computación,PDF,docs/portafolio_unidad_1/productos/cuadro_comparativo_tipos_investigacion_computacion.pdf,Incluido en portafolio,Completo,Completitud del portafolio
3,Mapa conceptual de metodología de la investigación,PDF,docs/portafolio_unidad_1/productos/mapa_conceptual_metodologia_investigacion.pdf,Incluido en portafolio,Completo,Completitud del portafolio
4,Ensayo sobre ética e IA generativa,PDF,docs/portafolio_unidad_1/productos/ensayo_etica_ia_generativa_acd5.pdf,Incluido en portafolio,Completo,Calidad de autoevaluación
5,Antecedentes y estado del arte HMM-ASR APE006,PDF,docs/portafolio_unidad_1/productos/antecedentes_estado_arte_hmm_asr_ape006.pdf,Incluido en portafolio,Completo,Completitud del portafolio
6,Antecedentes HMM-ASR,PDF,docs/portafolio_unidad_1/productos/antecedentes_hmm_asr.pdf,Incluido en portafolio,Completo,Completitud del portafolio
7,Reporte técnico APE006 editado,PDF,docs/portafolio_unidad_1/productos/reporte_tecnico_APE006_editado.pdf,Incluido en portafolio,Completo,Completitud del portafolio
8,Matriz de extracción de fuentes,PDF,docs/portafolio_unidad_1/productos/matriz_extraccion_overleaf__1_.pdf,Incluido en portafolio,Completo,Completitud del portafolio
9,Matriz jerarquizada de fuentes HMM-ASR,PDF,docs/portafolio_unidad_1/productos/matriz_jerarquizada_overleaf.pdf,Incluido en portafolio,Completo,Completitud del portafolio
10,Mini propuesta HMM-ASR,PDF,docs/portafolio_unidad_1/productos/mini_propuesta_hmm_asr.pdf,Incluido en portafolio,Completo,Completitud del portafolio
11,Propuesta del proyecto integrador HMM-ASR,PDF,docs/portafolio_unidad_1/productos/propuesta_proyecto_integrador_hmm_asr.pdf,Incluido en portafolio,Completo,Repositorio GitHub
12,Proyecto integrador HMM-ASR APE007,PDF,docs/portafolio_unidad_1/productos/proyecto_integrador_hmm_asr_APE007.pdf,Incluido en portafolio,Completo,Repositorio GitHub
13,Reporte técnico APE007,PDF,docs/portafolio_unidad_1/productos/reporte_tecnico_APE007.pdf,Incluido en portafolio,Completo,Repositorio GitHub
14,Capítulo 21 HMM-ASR final de libro,PDF,docs/portafolio_unidad_1/productos/capitulo_21_hmm_asr_final_libro.pdf,Incluido en portafolio,Completo,Completitud del portafolio
